Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Zack Wheeler,PHI,10.0,4.0,0.0,20.0,20.0,115.1,0.30176211,0.06387665,10.690751916554706,2.2630058801466166,1.0924855973121599,0.2656826568265683,0.81300813,0.438596491,0.137254901,95.1499255952381,2.8872833643249938,68.07452828600756,2.7791627935254297,3.1156458847920008,2.8807780879085563,3.1447603702545166,Zack Wheeler,10310,554430
Mason Miller,SDP,4.0,1.0,30.0,49.0,0.0,51.1,0.4744898,0.09693878,16.30519642076333,3.3311691612312178,0.0,0.2926829268292683,0.84444444,0.475609756,0.0,101.49635823567708,0.8766234634818995,21.824810014125852,1.5026117760082107,0.6848596688204549,1.54285164522594,3.1234614849090576,Mason Miller,31757,695243
Sandy Alcantara,MIA,13.0,7.0,0.0,26.0,26.0,170.2,0.18518519,0.06552707,6.855469158617804,2.425781394587838,0.8964844284346359,0.27091633466135456,0.74643249,0.43359375,0.09090909,97.46004329819277,3.427734579308902,81.03322456520492,3.623325392452084,3.784088844247165,4.153259831252574,3.100656509399414,Sandy Alcantara,18684,645261
Logan Webb,SFG,8.0,7.0,0.0,22.0,22.0,139.0,0.19642857,0.05714286,7.122302158273381,2.0719424460431655,0.5827338129496403,0.2655086848635236,0.68599717,0.509803921,0.072580645,92.27318982110508,3.4964028776978417,85.84019621936328,3.6318414237780896,3.1601004929851286,3.67322487552389,3.0972776412963867,Logan Webb,17995,657277
Bryan Woo,SEA,9.0,8.0,0.0,24.0,24.0,138.1,0.24333925,0.05150977,8.913253339772174,1.886747057324037,0.9759036503400191,0.2826666666666667,0.66176471,0.367609254,0.089820359,95.9858984375,4.0987953314280805,105.38716750362369,3.5582173418706335,3.2906023642625395,3.714435820880258,3.0741240978240967,Bryan Woo,30279,693433
Payton Tolle,BOS,8.0,6.0,0.0,20.0,20.0,115.0,0.27765727,0.06724512,10.017391304347827,2.4260869565217393,1.017391304347826,0.2727272727272727,0.77715356,0.367346938,0.092198581,96.09638014339153,2.973913043478261,68.61515461906629,2.711467728051695,3.2113985849463424,3.603945904257505,3.0643672943115234,Payton Tolle,35466,801139
Casey Mize,- - -,5.0,7.0,0.0,19.0,19.0,102.0,0.23284314,0.06127451,8.382353176295146,2.205882414814512,0.6176470761480634,0.275,0.72854291,0.320422535,0.051470588,93.47705351416744,3.176470677332897,76.97484300217323,3.3238803283745133,2.8750814436216254,4.007916969349426,3.0520217269659042,Casey Mize,20492,663554
Sean Burke,CHW,7.0,6.0,0.0,25.0,21.0,140.0,0.26970228,0.07355517,9.9,2.7,1.0285714285714285,0.27635327635327633,0.79658606,0.342541436,0.097560975,94.85981393058859,3.15,75.52454496050524,3.586330684361893,3.438106659480504,3.731492801436356,2.9991898834705353,Sean Burke,29878,680732
Jacob deGrom,TEX,8.0,8.0,0.0,23.0,23.0,120.2,0.29518072,0.062249,10.96408862886563,2.31215474486282,1.2679558278279979,0.3069306930693069,0.75085324,0.349056603,0.123188405,97.32044027453271,3.9530387573461114,96.37153999072883,3.6776454354697328,3.246709662184444,3.1521243749828223,2.996493339538574,Jacob deGrom,10954,594798
Shane Baz,BAL,4.0,12.0,0.0,24.0,24.0,139.1,0.20401338,0.07859532,7.8803830627873275,3.0358852782869215,0.6459330379333875,0.31971153846153844,0.67597765,0.379716981,0.0625,95.91864154884318,4.004784835187002,97.671544312718,4.18428276543195,3.3393370175110015,4.150335249056527,2.990941047668457,Shane Baz,22264,669358
Shohei Ohtani,LAD,8.0,2.0,0.0,14.0,14.0,85.2,0.27941176,0.07647059,9.980545043367766,2.7315175908164413,0.4202334755102217,0.24401913875598086,0.81081081,0.511848341,0.057142857,98.06926780523256,1.7859922709184424,43.01202669107159,2.7143709307243014,2.590691414242388,3.224684803413113,2.964491367340088,Shohei Ohtani,19755,660271
